image,px,py
00_002641.jpg,205.75177574157715,191.2165584564209
00_002642.jpg,205.73699569702148,191.4360523223877
00_002643.jpg,205.48739051818848,191.43822479248047
00_002644.jpg,205.80501174926758,190.72800636291504
00_002645.jpg,206.21202087402344,191.40323066711426
00_002647.jpg,205.98259735107422,191.61380767822266
00_002648.jpg,206.58875465393066,191.8878116607666
00_002649.jpg,205.94207763671875,191.43278884887695
00_002650.jpg,205.67033576965332,191.32437705993652
00_002651.jpg,205.97523307800293,191.28436660766602
00_002652.jpg,205.7804412841797,191.28313827514648
00_002653.jpg,205.5831642150879,191.63261604309082
00_002654.jpg,205.6470241546631,191.5081615447998
00_002655.jpg,205.28197860717773,191.3912868499756
00_002656.jpg,205.24913215637207,191.22332763671875
00_002657.jpg,205.3881072998047,191.24299240112305
00_002658.jpg,205.30072402954102,191.33968925476074
00_002661.jpg,205.51530647277832,190.97819709777832
00_002662.jpg,205.5868320465088,191.59319496154785
01_002666.jpg,196.9366683959961,191.5728988647461
01_002681.jpg,193.6559066772461,192.46857833862305
01_002683.jpg,193.81081581115723,191.88265991210938
01_002684.jpg,193.76562309265137,192.12677001953125
01_002687.jpg,193.3815517425537,192.1269874572754
02_002691.jpg,195.57376670837402,199.19932556152344
02_002692.jpg,197.31782150268555,200.00770568847656
02_002693.jpg,196.96874046325684,200.50843811035156
02_002694.jpg,197.0978603363037,200.38952255249023
02_002695.jpg,197.48202514648438,200.60176467895508
02_002696.jpg,197.7199363708496,200.7191276550293
02_002697.jpg,197.87372589111328,200.6291847229004
02_002698.jpg,196.77906608581543,200.3678741455078
02_002699.jpg,198.05025482177734,200.67452239990234
02_002700.jpg,197.6253261566162,200.52216339111328
02_002701.jpg,198.73435592651367,200.8511085510254
02_002704.jpg,197.50318336486816,200.0421028137207
02_002705.jpg,197.67152404785156,200.37633514404297
02_002706.jpg,198.86398887634277,200.62416076660156
02_002707.jpg,198.6846694946289,200.83227157592773
02_002708.jpg,197.81634521484375,200.72833633422852
02_002709.jpg,198.96568298339844,200.93560409545898
02_002711.jpg,197.43277168273926,200.2953987121582
02_002712.jpg,199.47960662841797,201.63448333740234
03_002716.jpg,200.39085578918457,198.62684631347656
03_002717.jpg,200.43128776550293,197.02598190307617
03_002718.jpg,200.39280700683594,197.78081130981445
03_002719.jpg,200.026123046875,197.7918357849121
03_002720.jpg,200.5177879333496,197.7693099975586
03_002721.jpg,201.08836555480957,197.97247695922852
03_002723.jpg,200.58104705810547,197.71736526489258
03_002724.jpg,199.99098205566406,198.12150955200195
03_002725.jpg,199.9949951171875,197.62497329711914
03_002726.jpg,200.2612762451172,197.23876190185547
03_002728.jpg,200.23784065246582,197.73291778564453
03_002729.jpg,201.21869659423828,198.63302993774414
03_002730.jpg,199.79232215881348,197.0849494934082
03_002731.jpg,200.0449390411377,197.53907775878906
03_002732.jpg,199.64244651794434,197.9088363647461
03_002733.jpg,201.52196311950684,198.04560470581055
03_002734.jpg,200.38688468933105,197.6861686706543
03_002736.jpg,199.79427337646484,197.6861801147461
03_002737.jpg,199.96650314331055,197.97586059570312
04_002741.jpg,206.76769638061523,198.27655029296875
04_002742.jpg,210.69030380249023,198.73289108276367
04_002743.jpg,210.4287986755371,199.33008575439453
04_002744.jpg,210.02474212646484,198.52743530273438
04_002745.jpg,210.3541374206543,198.58562088012695
04_002746.jpg,210.26293563842773,198.60724258422852
04_002747.jpg,209.6781883239746,198.5477752685547
04_002748.jpg,210.05653762817383,198.41301345825195
04_002749.jpg,210.53682327270508,198.5314178466797
04_002750.jpg,210.31090927124023,198.39981842041016
04_002753.jpg,210.02398300170898,198.36857223510742
04_002754.jpg,210.35047912597656,198.33893966674805
04_002755.jpg,210.11318969726562,198.50347900390625
04_002756.jpg,209.82869338989258,198.27433013916016
04_002758.jpg,210.28955841064453,198.20553588867188
04_002759.jpg,210.24123001098633,198.61224365234375
04_002760.jpg,210.01578903198242,198.69177627563477
04_002761.jpg,210.09492111206055,197.6200828552246
04_002762.jpg,210.0260353088379,198.3220100402832
