fixation_index,count,first_frame_idx,last_frame_idx
0,21,1686,1706
1,21,1711,1731
2,21,1736,1756
3,21,1761,1781
4,21,1786,1806
5,21,1811,1831
6,21,1836,1856
7,21,1861,1881
8,21,1886,1906
