fixation_index,x_px,y_px,rel_x,rel_y
0,512,320,0.2,0.2
1,1280,320,0.5,0.2
2,2048,320,0.8,0.2
3,512,800,0.2,0.5
4,1280,800,0.5,0.5
5,2048,800,0.8,0.5
6,512,1280,0.2,0.8
7,1280,1280,0.5,0.8
8,2048,1280,0.8,0.8
