fixation_index,x_px,y_px,rel_x,rel_y
0,256,800,0.1,0.5
1,460,800,0.18,0.5
2,665,800,0.26,0.5
3,870,800,0.34,0.5
4,1075,800,0.42,0.5
5,1280,800,0.5,0.5
6,1484,800,0.58,0.5
7,1689,800,0.66,0.5
8,1894,800,0.74,0.5
9,2099,800,0.82,0.5
