fixation_index,count,first_frame_idx,last_frame_idx
0,21,2293,2313
1,22,2318,2339
2,22,2343,2364
3,21,2368,2388
4,22,2393,2414
5,22,2418,2439
6,22,2443,2464
7,22,2468,2489
8,22,2493,2514
9,22,2518,2539
